clip_id,frame_index,method,output_status,wrong_part,box_quality,note
commons-cat-licking-tail,35,rc_sw0.10,no_output,,,temporal_none
commons-cat-licking-tail,36,rc_sw0.10,no_output,,,temporal_none
commons-cat-licking-tail,37,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,38,rc_sw0.10,no_output,,,temporal_none
commons-cat-licking-tail,39,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,40,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,41,rc_sw0.10,no_output,,,temporal_none
commons-cat-licking-tail,42,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,43,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,44,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,45,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,46,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,47,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,48,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,49,rc_sw0.10,no_output,,,no_tail_box
commons-cat-licking-tail,50,rc_sw0.10,no_output,,,temporal_none
commons-cat-licking-tail,51,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,0,rc_sw0.10,wrong_part,other,,auto: box does not match reference (or frame not visible)
commons-cat-plays,1,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,2,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,3,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,4,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,5,rc_sw0.10,correct,,usable,
commons-cat-plays,6,rc_sw0.10,wrong_part,other,,auto: box does not match reference (or frame not visible)
commons-cat-plays,7,rc_sw0.10,correct,,usable,
commons-cat-plays,8,rc_sw0.10,correct,,usable,
commons-cat-plays,9,rc_sw0.10,no_output,,,all_look_like_paw
commons-cat-plays,10,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,11,rc_sw0.10,no_output,,,all_look_like_paw
commons-cat-plays,12,rc_sw0.10,no_output,,,all_look_like_paw
commons-cat-plays,13,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,14,rc_sw0.10,no_output,,,all_look_like_paw
commons-cat-plays,15,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,16,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,17,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,18,rc_sw0.10,no_output,,,temporal_none
commons-cat-plays,19,rc_sw0.10,correct,,usable,
commons-cat-plays,20,rc_sw0.10,correct,,usable,
